,CHỈ TIÊU,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014
0,Doanh số,15508528900.0,17820502285.0,6691796818.0,9095986368.0,9095986368.0,6200782096.0,9003259081.0,31771486624.0,15231636025.0,10638363634.0
1,Các khoản giảm trừ,-588000000.0,-824310200.0,0.0,-109500000.0,-109500000.0,0.0,0.0,-99500000.0,-170000000.0,0.0
2,Doanh số thuần,14920528900.0,16996192085.0,6691796818.0,8986486368.0,8986486368.0,6200782096.0,9003259081.0,31671986624.0,15061636025.0,10638363634.0
3,Giá vốn hàng bán,-14067164801.0,-18062154505.0,-6825407982.0,-5288294975.0,-5288294975.0,-5254709716.0,-10922768427.0,-29254821198.0,-19845133964.0,-9526926252.0
4,Lãi gộp,853364099.0,-1065962420.0,-133611164.0,3698191393.0,3698191393.0,946072380.0,-1919509346.0,2417165426.0,-4783497939.0,1111437382.0
5,Thu nhập tài chính,20713760.0,27746245.0,1583553.0,2240793.0,2240793.0,1775452.0,235854940.0,299840453.0,8507857.0,2239509.0
6,Chi phí tài chính,-8294848148.0,-5595041240.0,-6844433473.0,-6325614787.0,-6325614787.0,-253158167.0,-4281689970.0,-6480580815.0,-44566591418.0,-3370785369.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,-6844433473.0,0.0,0.0,0.0,-4534848137.0,-6480580815.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-404028203.0,-417995084.0,-209644345.0,-604058555.0,-604058555.0,-176141000.0,-129508145.0,-1317830775.0,-1040693746.0,-370451608.0
10,Chi phí quản lý doanh  nghiệp,-1032151236.0,-969790589.0,-299607816.0,-1086612309.0,-1086612309.0,-452601240.0,-950997727.0,-1928812312.0,-1280403381.0,-601621867.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-8856949728.0,-8021043088.0,-7485713245.0,-4315853465.0,-4315853465.0,65947425.0,-7045850248.0,-7010218023.0,-51662678627.0,-3229181953.0
12,Thu nhập khác,0.0,224414396.0,15285000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Chi phí khác,0.0,-188489791.0,-51209605.0,0.0,0.0,0.0,0.0,0.0,-5738026828.0,0.0
14,"Thu nhập khác, ròng",0.0,35924605.0,-35924605.0,0.0,0.0,0.0,0.0,0.0,-5738026828.0,0.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-8856949728.0,-7985118483.0,-7521637850.0,-4315853465.0,-4315853465.0,65947425.0,-7045850248.0,-7010218023.0,-57400705455.0,-3229181953.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-8856949728.0,-7985118483.0,-7521637850.0,-4315853465.0,-4315853465.0,65947425.0,-7045850248.0,-7010218023.0,-57400705455.0,-3229181953.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-8856949728.0,-7985118483.0,-7521637850.0,-4315853465.0,-4315853465.0,65947425.0,-7045850248.0,-7010218023.0,-57400705455.0,-3229181953.0
23,Lãi cơ bản trên cổ phiếu,0.0,-1748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
