,Unnamed: 0,2015,2016,2017,2018,2019,2020,2021
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,28217962328.0,-7607929435.0,-10135764523.0,32885296562.0,-10870168048.0,-3802822620.0,-907965606.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,13498787777.0,13275428470.0,15789013536.0,21825473357.0,14498296421.0,9083176143.0,7950727549.0
2,Lãi trước thuế,9542745690.0,9662013695.0,8936964457.0,18015751034.0,11369814666.0,5975087335.0,6328040271.0
3,Khấu hao TSCĐ,2948641438.0,2644009939.0,2766316122.0,2515459970.0,2161137850.0,1831513786.0,1766461340.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,2385215500.0,57520369.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,-38092759.0,-48448064.0,3460576.0,0.0,49417000.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-1040406728.0,-1028733627.0,-616440180.0,-815730681.0,-939751413.0,-610028813.0,-1362302579.0
9,Chi phí lãi vay,2047807377.0,1998138463.0,2355050396.0,2100920729.0,1903634742.0,1886603835.0,1169111517.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,23715553631.0,-8779102527.0,-9841088514.0,-23950697750.0,6234709838.0,15210832224.0,14373031022.0
13,(Tăng)/giảm hàng tồn kho,6168791565.0,13802737551.0,-11823210449.0,5169575624.0,9394540486.0,211444925.0,-9577004473.0
14,Tăng/(giảm) các khoản phải trả,-10009178267.0,-18692082070.0,1617386549.0,39588424920.0,-33629123016.0,-22783454026.0,-8654587980.0
15,( Tăng)/giảm chi phí trả trước,11674901.0,-122238716.0,643232338.0,-1144927470.0,644156774.0,369049397.0,112550699.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-2047807377.0,-2006939151.0,-2384013312.0,-2146194857.0,-1912478761.0,-1907482835.0,-1158227407.0
18,Thuế thu nhập doanh nghiệp đã trả,-1555329134.0,-2952645518.0,-1369171715.0,-3051347770.0,-3247909311.0,-1667723752.0,-1255445955.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,223030916.0,5445000.0,3000000.0,37880000.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-1564530768.0,-2356118390.0,-2773357956.0,-3408009492.0,-2890240479.0,-2318664696.0,-2699009061.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,364552035.0,-2318215821.0,-311999190.0,73748580.0,645238579.0,-1594761309.0,451816226.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-369478182.0,-3070218182.0,-991279866.0,-455709091.0,0.0,-215000000.0,-1911716980.0
23,Tiền thu được từ thanh lý tài sản cố định,20000000.0,0.0,155881818.0,40909091.0,8450000.0,750000.0,557436364.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,-2200000000.0,-1263600000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,2200000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,-346215000.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,714030217.0,752002361.0,523398858.0,834763580.0,636788579.0,819488691.0,869696842.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-4198868109.0,-1716382434.0,5360612062.0,-17648913536.0,-4335259127.0,-31679872.0,-4736331122.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,17346608853.0,19319555906.0,26763823712.0,17121574217.0,24081776498.0,29827108110.0,10643953543.0
33,Tiển trả các khoản đi vay,-17722755962.0,-17121334000.0,-21018214100.0,-28033590003.0,-19588873475.0,-25629035464.0,-14626399015.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-3822721000.0,-3914604340.0,-384997550.0,-6736897750.0,-8828162150.0,-4229752518.0,-753885650.0
37,Lưu chuyển tiền thuần trong kỳ,24383646254.0,-11642527690.0,-5087151651.0,15310131606.0,-14560188596.0,-5429263801.0,-5192480502.0
38,Tiền và tương đương tiền đầu kỳ,22731742966.0,47115389220.0,35510854502.0,30461795610.0,45820375280.0,31256726108.0,25827462307.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,37992972.0,38092759.0,48448064.0,-3460576.0,0.0,-49417000.0
40,Tiền và tương đương tiền cuối kỳ,47115389220.0,35510854502.0,30461795610.0,45820375280.0,31256726108.0,25827462307.0,20585564805.0
