,CHỈ TIÊU,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2015,Q2 2015,Q2 2016,Q2 2017,Q4 2017,Q2 2018
0,Doanh số,47974120958.0,27461088204.0,38154211230.0,38154211230.0,40057463742.0,38689947029.0,20482491107.0,28073029896.0,47107611219.0,25492625784.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,47974120958.0,27461088204.0,38154211230.0,38154211230.0,40057463742.0,38689947029.0,20482491107.0,28073029896.0,47107611219.0,25492625784.0
3,Giá vốn hàng bán,-43639472196.0,-25643628017.0,-41504513515.0,-41504513515.0,-36690607675.0,-36009271866.0,-22228785519.0,-25841224456.0,-42328892682.0,-24220765723.0
4,Lãi gộp,4334648762.0,1817460187.0,-3350302285.0,-3350302285.0,3366856067.0,2680675163.0,-1746294412.0,2231805440.0,4778718537.0,1271860061.0
5,Thu nhập tài chính,28543208.0,30610366.0,74482106.0,74482106.0,6367009.0,8378601.0,8578372.0,1031526.0,948378.0,856142.0
6,Chi phí tài chính,-2670439324.0,-2215530240.0,-2122849007.0,-2122849007.0,-1017805204.0,-763101614.0,-984954686.0,-1020669408.0,-1306199094.0,-1014742683.0
7,Trong đó: Chi phí lãi vay,-2692839324.0,-2215530240.0,-2122849007.0,-2122849007.0,-1017805204.0,-763101614.0,-984954686.0,-1020669408.0,0.0,-1014742683.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-234944936.0,-207247616.0,-496583180.0,-496583180.0,-162770391.0,-316973073.0,-200292000.0,-207726371.0,-232107584.0,-197831936.0
10,Chi phí quản lý doanh  nghiệp,-17633339472.0,-366501952.0,-11239869796.0,-11239869796.0,-1571134378.0,-1618284074.0,-1103210465.0,-1336077814.0,-2997042209.0,75989678.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-16175531762.0,-941209255.0,-17135122162.0,-17135122162.0,621513103.0,-9304997.0,-4026173191.0,-331636627.0,244318028.0,136131262.0
12,Thu nhập khác,340221338.0,222000000.0,2673337227.0,2673337227.0,0.0,316733242.0,6642000828.0,606545455.0,981055065.0,0.0
13,Chi phí khác,-92503008.0,-179939267.0,-19523746313.0,-19523746313.0,-460102536.0,-21000.0,-1953733867.0,-11945586.0,-78966106.0,-7880165.0
14,"Thu nhập khác, ròng",247718330.0,42060733.0,-16850409086.0,-16850409086.0,-460102536.0,316712242.0,4688266961.0,594599869.0,902088959.0,-7880165.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-15927813432.0,-899148522.0,-33985531248.0,-33985531248.0,161410567.0,307407245.0,662093770.0,262963242.0,1146406987.0,128251097.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25650219.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25650219.0
20,Lãi/(lỗ) thuần sau thuế,-15927813432.0,-899148522.0,-33985531248.0,-33985531248.0,161410567.0,307407245.0,662093770.0,262963242.0,1146406987.0,102600878.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-15927813432.0,-899148522.0,-33985531248.0,-33985531248.0,161410567.0,307407245.0,662093770.0,262963242.0,1146406987.0,102600878.0
23,Lãi cơ bản trên cổ phiếu,-3667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
