,CHỈ TIÊU,Q2 2016,Q2 2017,Q3 2017,Q4 2017
0,TỔNG TÀI SẢN,83230688016.0,78458595474.0,80690009108.0,213315754650.0
1,TÀI SẢN NGẮN HẠN,72649473785.0,67597130265.0,70927530622.0,206931919399.0
2,Tiền và tương đương tiền,13777824520.0,3864614460.0,7722361977.0,11579132556.0
3,Tiền,13777824520.0,2864614460.0,3722361977.0,11579132556.0
4,Các khoản tương đương tiền,0.0,1000000000.0,4000000000.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,18000000000.0,14000000000.0,13000000000.0,13000000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,18000000000.0,14000000000.0,13000000000.0,13000000000.0
9,Các khoản phải thu,14562378255.0,13481049321.0,11710021743.0,167506279869.0
10,Phải thu khách hàng,7233882722.0,5141461514.0,7058922619.0,163929877587.0
11,Trả trước người bán,3724352793.0,2599125993.0,2110591493.0,540297500.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0
15,Phải thu khác,3604142740.0,5740461814.0,2540507631.0,3036104782.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",24201571010.0,29930085524.0,34867869566.0,14236219357.0
19,Hàng tồn kho,24201571010.0,29930085524.0,34867869566.0,14236219357.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,2107700000.0,6321380960.0,3627277336.0,610287617.0
22,Trả trước ngắn hạn,2107700000.0,3482152589.0,2079175356.0,610287617.0
23,Thuế VAT phải thu,0.0,2761018348.0,1548101980.0,0.0
24,Phải thu thuế khác,0.0,78210023.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,10581214231.0,10861465209.0,9762478486.0,6383835251.0
28,Phải thu dài hạn,927150308.0,314325000.0,205169000.0,245169000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,927150308.0,314325000.0,205169000.0,245169000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0
36,Tài sản cố định,6298984581.0,4252880667.0,3732471366.0,3188424353.0
37,GTCL TSCĐ hữu hình,5903055588.0,3990144556.0,3519318589.0,3024854910.0
38,Nguyên giá TSCĐ hữu hình,15289781007.0,15496603734.0,15527793734.0,15527793734.0
39,Khấu hao lũy kế TSCĐ hữu hình,-9386725419.0,-11506459178.0,-12008475145.0,-12502938824.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,395928993.0,262736111.0,213152777.0,163569443.0
44,Nguyên giá TSCĐ vô hình,1103499000.0,1298499000.0,1298499000.0,1298499000.0
45,Khấu hao lũy kế TSCĐ vô hình,-707570007.0,-1035762889.0,-1085346223.0,-1134929557.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,3355079342.0,6294259542.0,5824838120.0,2950241898.0
59,Trả trước dài hạn,3242119481.0,6181299681.0,5711878259.0,2837282037.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",112959861.0,112959861.0,112959861.0,112959861.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,31004402189.0,27398763327.0,29427438112.0,158846417219.0
65,Nợ ngắn hạn,30873402189.0,27202594927.0,29231269712.0,158600248819.0
66,Phải trả người bán,13806518648.0,15920758290.0,17089532498.0,143712916148.0
67,Người mua trả tiền trước,5381557434.0,311611375.0,970889345.0,555770652.0
68,Thuế và các khoản phải trả Nhà nước,704806066.0,50385871.0,18603564.0,4355735278.0
69,Phải trả người lao động,5148306654.0,4790578544.0,6727568662.0,7667512901.0
70,Chi phí phải trả,0.0,0.0,0.0,0.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0
74,Phải trả khác,3799838192.0,1992272290.0,550523086.0,297045738.0
75,Vay ngắn hạn,0.0,0.0,0.0,0.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",2032375195.0,4136988557.0,3874152557.0,2011268102.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
80,Nợ dài hạn,131000000.0,196168400.0,196168400.0,246168400.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,131000000.0,196168400.0,196168400.0,246168400.0
88,Vay dài hạn,0.0,0.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,52226285827.0,51059832147.0,51262570996.0,54469337431.0
96,Vốn và các quỹ,52226285827.0,51059832147.0,51262570996.0,54469337431.0
97,Vốn góp,50000000000.0,50000000000.0,50000000000.0,50000000000.0
98,Cổ phiếu phổ thông,50000000000.0,50000000000.0,50000000000.0,50000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,93556402.0,93553000.0,93553000.0,93553000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,-27200000.0,-27200000.0,-27200000.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,223557344.0,385804588.0,385804588.0,385804588.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,1909172081.0,607674559.0,810413408.0,4017179843.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,0.0,0.0
112,LNST chưa phân phối kỳ này,1909172081.0,607674559.0,810413408.0,4017179843.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,83230688016.0,78458595474.0,80690009108.0,213315754650.0
